10700112	cmn	她流淚了。
10703962	cmn	一个没勇气发问的人，也将羞于学习。
10704615	cmn	汤姆，谢谢你。
10706214	cmn	「你的朋友們是哪國人啊？」「是威爾斯人。」
10706218	cmn	還要多久才好啊？
10706220	cmn	偶爾漫無目的地走一走是很有樂趣的。
10706223	cmn	湯姆一定會抱怨的。
10706226	cmn	我朋友是個實打實的書蟲。
10706229	cmn	書是按字母排序的。
10706234	cmn	田野和小徑被霧氣籠罩著。
10706716	cmn	她沒受傷。
10706717	cmn	魚睡覺嗎？
10706718	cmn	選擇一個字母。
10706719	cmn	把那件武器給我。
10706720	cmn	專心。
10706722	cmn	沒人能預測未來。
10706723	cmn	照湯姆說的做。
10706724	cmn	我甚麼都沒在學。
10706727	cmn	湯姆想買棟房子。
10706947	cmn	我再给你重复最后一遍。
10707389	cmn	这本笔记本不是你的，是他的。
10707450	cmn	爆炸是由甚麼導致的呢？
10707451	cmn	我爸去過兩次澳大利亞。
10708133	cmn	我昨天碰到你父母了。
10708318	cmn	我退休了。
10709444	cmn	馬可覺得他自己很會寫。
10709452	cmn	他带了个好头。
10711420	cmn	肉餡兒不要買有怪味兒的啊！
10713306	cmn	他和玛丽一起工作。
10713309	cmn	嗯，热巧克力！
10713316	cmn	汤姆假装他是一名医生。
10713318	cmn	这是我第一次长胡子。
10713324	cmn	我的职业正是我的爱好。
10713325	cmn	读好书。
10713329	cmn	昨晚我吃了两个青苹果和一碗青葡萄。
10713529	cmn	嗯，可以。
10713530	cmn	夠了。
10713785	cmn	他從早幹到晚。
10713935	cmn	汤姆昨天喝醉了。
10713936	cmn	你确定你和汤姆有足够的水吗？
10713937	cmn	我常对自己这么说。
10713938	cmn	汤姆说玛丽喜欢驾车。
10713939	cmn	他正在思考他未来的生活。
10713940	cmn	她躺在我身边。
10713942	cmn	汤姆和玛丽讨论了他们未来的计划。
10713943	cmn	汤姆去不了音乐会，因为他得工作。
10713944	cmn	他们发现了一具长颈鹿的尸体。
10713945	cmn	我是你的律师。
10713949	cmn	我可以借用您的眼线笔吗？
10713950	cmn	我们再也别这样做了。
10713951	cmn	我知道汤姆会成为一位优秀的篮球教练。这就是为什么我聘用了他。
10713952	cmn	汤姆正要为我们铲掉屋顶上的雪。
10715243	cmn	他从头到脚都湿透了。
10715252	cmn	把車鑰匙給我。
10715257	cmn	我不該那麼生氣的。
10715261	cmn	怎麼降低成本呢？
10715263	cmn	我覺得你夠大了。
10715265	cmn	他們已經吃過了。
10715268	cmn	你會把它扔掉嗎？
10715269	cmn	你要扔掉它嗎？
10715271	cmn	我已經知道答案了。
10715272	cmn	湯姆睡得不夠。
10715273	cmn	湯姆說他甚麼也聽不見。
10715274	cmn	說好就是了。
10715911	cmn	今天晚饭吃外卖？
10717541	cmn	你是光棍兒嗎？
10719641	cmn	本科生应该为公义发一声。
10719685	cmn	我不懂我說的話。
10720788	cmn	我愛吃蝦。
10723681	cmn	車拋錨了。
10724526	cmn	我知道在哪兒能找到她。
10724580	cmn	我在跟幾個朋友喝酒。
10725039	cmn	我現在没在寫信。
10725048	cmn	是誰把餅乾都給吃了？
10726283	cmn	我來做頭髮。
10727087	cmn	我来自法国，你呢？
10727717	cmn	他飯量很大。
10728218	cmn	每个女人一辈子至少有一双Jimmy Choo。
10728220	cmn	我们男人没这么好骗的！
10729056	cmn	湯姆供認是他謀殺了瑪麗。
10731124	cmn	她给我们做了一个蔬菜汤。
10731125	cmn	汤姆可能不知道玛丽亚之前住在哪。
10731126	cmn	我和汤姆说了，我觉得这个主意很好。
10731127	cmn	她习惯走路上学。
10731128	cmn	我不想要您的东西。
10731288	cmn	我为你建了这个。
10732718	cmn	我想去加拿大读大学。
10732794	cmn	你又不用去呀。
10733060	cmn	我应该知道。
10733069	cmn	我必须知道。
10733104	cmn	汤姆有一辆快车。
10733173	cmn	不要告诉她。
